state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Goa,Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158965,A/C Seater (2+3),09:55,00h 35m,10:30,3.7,150,47
Goa,Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 178655,AC Seater (2+2),08:00,01h 10m,09:10,3.7,200,35
Goa,Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 159023,A/C Seater (2+3),10:15,01h 10m,11:25,5.0,200,42
Goa,Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 158988,A/C Seater (2+3),11:30,01h 25m,12:55,3.1,200,47
Goa,Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga,Kadamba Transport Corporation Limited (KTCL) - 8355,Non AC Seater 2+2,15:00,10h 03m,01:03,3.4,450,37
Goa,Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga,Sea Bird Tourist,NON A/C Sleeper (2+1),17:30,09h 00m,02:30,3.5,1600,14
Goa,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa,Kadamba Transport Corporation Limited (KTCL) - 159664,A/C Seater (2+3),10:30,02h 00m,12:30,3.7,400,47
Goa,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa,Kadamba Transport Corporation Limited (KTCL) - 158996,A/C Seater (2+3),12:30,02h 00m,14:30,3.7,400,47
Goa,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa,Kadamba Transport Corporation Limited (KTCL) - 159015,,16:00,02h 00m,18:00,3.7,400,47
Goa,Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 178655,AC Seater (2+2),08:00,00h 25m,08:25,3.7,150,35
Goa,Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 159654,A/C Seater (2+3),08:15,00h 30m,08:45,3.7,150,42
Goa,Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa,Kadamba Transport Corporation Limited (KTCL) - 178778,AC Seater (2+2),08:15,00h 30m,08:45,3.7,150,35
Goa,Margao to Mopa Airport,https://www.redbus.in/bus-tickets/margoa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158965,A/C Seater (2+3),08:30,02h 00m,10:30,3.5,400,47
Goa,Margao to Mopa Airport,https://www.redbus.in/bus-tickets/margoa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158967,A/C Seater (2+3),15:00,02h 00m,17:00,4.1,400,48
Goa,Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 178776,AC Seater (2+2),08:15,01h 00m,09:15,3.7,200,35
Goa,Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 158965,A/C Seater (2+3),09:25,01h 05m,10:30,3.9,200,47
Goa,Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159647,A/C Seater (2+3),10:30,01h 00m,11:30,3.7,200,47
Goa,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 151354,Volvo AC Seater 2+2,08:00,01h 01m,09:01,4.5,150,40
Goa,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater (2+2),13:45,01h 01m,14:46,4.5,150,41
Goa,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater (2+2),16:00,01h 00m,17:00,4.5,150,39
Goa,Mopa Airport to Panaji,https://www.redbus.in/bus-tickets/mopa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 159654,A/C Seater (2+3),08:15,01h 15m,09:30,3.7,200,42
Goa,Mopa Airport to Panaji,https://www.redbus.in/bus-tickets/mopa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 178778,AC Seater (2+2),08:15,01h 00m,09:15,3.7,200,35
Goa,Mopa Airport to Panaji,https://www.redbus.in/bus-tickets/mopa-airport-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 159664,,10:30,01h 00m,11:30,3.7,200,47
Goa,Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,09h 00m,03:00,3.6,550,6
Goa,Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08h 10m,04:40,4.9,685,26
Goa,Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,08h 10m,05:40,4.7,1044,12
Goa,Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi,PSR Travels Goa (Parrikar),A/C Sleeper (2+1),19:15,14h 45m,10:00,3.8,1799,12
Goa,Panaji to Calangute (goa),https://www.redbus.in/bus-tickets/panaji-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99708,AC Seater (2+2),08:31,00h 39m,09:10,3.7,100,41
Goa,Panaji to Calangute (goa),https://www.redbus.in/bus-tickets/panaji-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 151354,Volvo AC Seater 2+2,09:01,00h 29m,09:30,3.7,100,40
Goa,Panaji to Calangute (goa),https://www.redbus.in/bus-tickets/panaji-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99707,,14:46,00h 44m,15:30,3.7,100,41
Goa,Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa,PSR Travels Goa (Parrikar),A/C Sleeper (2+1),18:00,15h 00m,09:00,3.9,1999,8
Goa,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:00,00h 31m,10:31,3.7,100,38
Goa,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,00h 31m,14:01,3.7,100,40
Goa,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji,Kadamba Transport Corporation Limited (KTCL) - 99718,,15:30,00h 31m,16:01,3.7,100,41
Goa,Goa to Karad,https://www.redbus.in/bus-tickets/goa-to-karad,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,08h 45m,02:45,3.7,500,6
